respondent_id,UGorGRAD,class_level,first_choice,gender,I01_importance,I01_satisfaction,I02_importance,I02_satisfaction,I03_importance,I03_satisfaction,I04_importance,I04_satisfaction,I05_importance,I05_satisfaction,I06_importance,I06_satisfaction,I07_importance,I07_satisfaction,I08_importance,I08_satisfaction,I09_importance,I09_satisfaction,I10_importance,I10_satisfaction,I11_importance,I11_satisfaction,I12_importance,I12_satisfaction
S599478,UG,Sophomore,No,Male,6.29,5.83,5.84,4.72,4.39,3.41,5.78,5.18,5.47,4.3,5.13,4.29,6.55,5.64,5.64,4.55,5.63,5.4,5.59,4.58,5.95,4.93,6.88,4.67
S171506,GRAD,Doctoral,Yes,Female,6.0,6.07,5.01,4.78,5.81,4.11,5.05,5.23,5.82,4.9,6.01,5.4,5.88,5.48,5.54,5.43,5.01,4.09,5.14,4.58,3.88,3.61,5.22,4.71
S534058,GRAD,Masters,Yes,Female,5.81,5.31,5.93,5.22,6.56,5.71,5.18,4.17,5.69,5.94,5.4,5.75,6.14,3.85,4.53,3.26,5.29,4.29,4.56,3.34,5.88,5.05,5.79,4.54
S208989,UG,Freshman,Yes,Female,6.3,5.14,5.58,5.81,4.82,4.14,5.76,4.85,5.11,3.91,5.59,5.63,6.54,5.5,5.51,5.65,6.39,5.69,5.6,5.03,4.71,4.14,5.44,5.53
S481305,UG,Freshman,No,Nonbinary/Other,4.08,3.24,6.75,5.55,5.35,3.91,6.36,5.95,5.67,5.06,6.24,5.17,5.71,5.02,6.23,5.73,5.41,4.79,5.9,4.35,6.09,4.72,4.84,4.21
S106848,UG,Freshman,Yes,Male,6.11,4.65,6.64,5.79,5.9,5.09,5.55,5.12,4.96,4.44,5.24,4.91,5.89,5.72,6.02,4.49,5.79,4.59,6.36,5.71,6.58,6.53,7.0,6.25
S601720,UG,Senior,Yes,Male,5.31,5.33,5.42,4.4,6.45,5.65,5.56,5.09,6.53,4.52,5.54,4.31,6.19,6.43,6.07,5.59,5.05,4.09,4.35,4.08,5.14,3.26,4.99,4.75
S024860,GRAD,Masters,Yes,Female,4.6,4.01,5.61,4.48,5.43,5.38,5.46,5.6,4.89,4.14,5.92,4.84,5.27,5.18,5.47,5.53,5.9,5.69,5.02,4.09,5.54,4.51,5.83,5.44
S737605,UG,Senior,Yes,Female,6.01,5.93,5.66,4.77,5.28,4.47,5.38,5.09,5.58,5.08,4.54,3.48,5.73,4.97,5.31,4.5,5.43,4.7,5.35,4.8,5.34,5.48,4.66,4.06
S766438,GRAD,Doctoral,Yes,Male,6.52,5.74,5.43,4.75,4.52,3.4,5.88,5.84,5.07,5.58,4.27,2.76,5.78,4.46,6.46,6.1,6.33,6.4,5.7,4.79,6.44,6.2,5.46,4.98
S658502,UG,Freshman,Yes,Female,5.62,4.47,5.82,5.56,5.76,5.48,4.8,4.31,6.04,4.65,5.91,5.25,5.13,3.87,5.4,5.12,6.16,5.12,5.61,6.28,5.76,4.65,5.95,4.33
S460066,GRAD,Masters,No,Male,6.27,5.68,5.25,4.8,6.93,5.41,6.47,6.04,5.5,5.37,6.0,4.87,7.0,6.09,5.88,5.62,5.4,4.73,5.63,4.82,6.74,5.35,5.21,4.22
S162588,GRAD,Masters,Yes,Female,6.67,7.0,5.02,3.83,5.87,5.31,5.3,5.51,5.39,5.29,6.94,6.63,4.86,4.42,5.8,3.81,5.62,5.24,5.94,5.57,5.95,5.98,6.05,5.21
S450881,UG,Junior,Yes,Female,6.49,5.69,6.07,4.66,5.69,5.43,6.13,4.42,6.21,5.68,5.79,3.87,4.92,4.09,6.58,6.0,5.37,4.69,5.16,4.99,5.85,4.79,5.54,4.57
S728493,UG,Freshman,Yes,Female,6.68,5.77,6.08,5.5,5.89,4.69,4.94,3.61,5.72,4.31,6.19,4.5,6.49,6.05,6.28,6.55,4.85,4.13,6.26,5.84,5.74,6.01,6.4,5.39
S213797,UG,Sophomore,Yes,Female,6.15,5.24,5.22,4.49,5.69,5.14,6.1,5.79,6.01,4.92,5.58,4.88,6.13,4.57,4.92,3.48,5.19,4.04,5.96,5.55,6.19,5.54,6.52,5.86
S941937,UG,Sophomore,Yes,Male,5.75,4.43,6.24,5.99,5.21,4.13,6.1,5.27,5.11,4.49,5.88,4.99,5.08,4.48,4.99,3.98,5.82,4.82,5.51,4.83,4.66,3.4,5.35,4.81
S703786,UG,Junior,Yes,Female,4.74,4.57,5.32,4.03,6.19,5.64,5.93,5.02,4.86,4.0,6.7,5.32,6.06,5.41,6.05,5.73,5.9,5.27,6.66,6.64,5.75,5.33,5.75,4.96
S108284,UG,Senior,Yes,Female,5.55,4.51,5.85,4.82,5.84,5.17,5.1,3.81,5.76,5.36,4.43,3.8,6.58,6.99,5.66,5.43,5.79,4.71,6.63,5.78,5.66,5.71,5.81,4.53
S367388,UG,Freshman,Yes,Female,5.19,3.9,6.19,4.52,5.71,4.76,5.85,5.56,5.51,4.74,5.95,5.58,5.68,5.08,5.43,4.39,5.52,4.62,6.26,4.88,6.14,5.36,6.07,4.81
S680556,UG,Junior,No,Female,7.0,6.99,5.68,5.22,5.11,4.07,4.99,3.54,6.08,5.14,6.98,5.64,7.0,5.68,6.31,5.53,6.26,5.57,3.89,2.85,5.59,4.99,5.71,4.93
S338456,UG,Freshman,No,Male,5.59,4.53,5.97,5.26,6.48,6.58,5.55,4.92,5.65,4.27,5.87,4.93,4.67,4.3,5.81,5.88,5.74,4.9,6.65,5.34,5.08,3.86,5.81,4.53
S004888,UG,Sophomore,No,Male,5.77,5.13,5.39,4.37,6.1,5.76,6.32,6.09,5.82,4.44,6.69,5.7,6.12,5.59,5.73,3.94,6.12,5.3,6.18,4.73,5.7,5.25,5.55,4.75
S330164,UG,Sophomore,Yes,Male,6.03,5.37,5.58,4.56,5.37,4.2,6.18,5.12,4.73,3.78,5.32,5.04,6.4,5.3,6.17,5.68,4.64,3.68,6.9,5.59,5.05,4.74,5.77,5.05
S971588,UG,Senior,Yes,Male,5.73,4.85,5.58,4.98,6.3,5.67,5.71,4.36,6.83,6.31,5.68,5.84,6.23,6.27,5.47,4.03,3.35,2.83,6.44,4.81,4.54,4.86,6.48,6.02
S440178,GRAD,Masters,Yes,Female,6.72,6.36,5.25,5.09,5.4,5.06,5.12,3.22,5.6,4.63,5.72,5.0,5.58,4.45,6.64,5.4,5.87,5.47,6.65,6.3,6.14,5.45,6.09,5.58
S915348,UG,Sophomore,Yes,Male,5.33,4.96,5.59,4.45,5.23,5.21,6.09,5.99,6.12,5.46,4.37,3.22,5.53,5.09,5.23,5.03,4.85,3.16,6.23,5.89,6.05,5.43,6.12,4.75
S591286,UG,Junior,No,Female,5.82,4.9,4.77,3.51,5.24,4.88,5.71,4.46,5.2,4.84,5.0,4.21,5.97,5.26,6.09,4.68,5.57,4.2,6.51,5.22,5.98,5.67,6.13,5.19
S149886,UG,Freshman,Yes,Female,5.25,5.1,5.41,5.16,4.64,4.95,4.31,3.81,5.88,5.39,5.04,3.62,6.19,6.05,6.56,6.19,5.52,5.2,6.9,5.84,6.48,5.68,5.61,4.84
S263927,UG,Freshman,Yes,Male,4.91,4.75,5.53,4.15,5.98,5.33,6.17,5.08,4.92,4.18,6.19,5.85,6.06,5.17,4.87,5.11,6.65,5.67,5.83,4.74,5.3,4.09,5.89,5.91
S827161,UG,Junior,Yes,Female,5.33,4.29,5.55,4.26,4.6,4.2,5.69,5.72,5.97,4.82,6.22,6.05,6.32,4.39,5.49,5.01,5.94,5.18,4.76,3.11,4.84,4.25,5.05,4.5
S304888,UG,Senior,No,Male,5.68,5.35,5.56,4.59,4.96,4.55,6.42,6.15,5.49,4.68,5.89,5.03,5.09,3.8,6.39,5.29,5.8,4.7,5.52,4.61,5.66,4.62,6.46,5.68
S446467,UG,Freshman,Yes,Female,5.44,4.41,5.66,4.92,4.45,3.79,5.04,4.73,5.72,5.62,6.19,5.54,5.56,5.3,6.39,5.93,6.2,5.43,5.93,5.02,5.49,4.65,4.03,3.74
S981418,GRAD,Masters,Yes,Male,5.28,4.45,5.99,5.11,5.65,4.87,3.79,3.15,6.12,5.49,5.6,4.62,5.14,3.97,5.6,5.15,5.92,4.73,5.74,5.64,5.19,5.2,5.65,5.04
S837135,GRAD,Masters,Yes,Male,4.86,5.12,6.22,6.06,5.61,3.96,5.87,5.59,4.96,4.3,6.42,6.21,5.47,5.03,5.26,4.09,5.43,4.65,4.95,3.28,5.65,4.02,6.38,6.0
S589759,GRAD,Doctoral,Yes,Male,5.65,5.39,5.31,4.7,5.5,5.66,5.87,4.95,5.29,4.6,5.71,4.42,6.31,5.02,6.27,5.62,6.34,5.77,4.72,4.29,5.33,4.97,4.88,4.24
S971726,UG,Senior,Yes,Male,4.8,3.5,4.98,5.35,5.07,3.79,4.69,3.47,5.97,4.81,5.73,4.05,5.76,4.66,6.41,6.13,5.03,3.81,5.26,4.71,4.6,3.57,5.94,5.18
S298796,UG,Junior,Yes,Male,6.16,5.95,5.07,3.94,5.0,3.81,5.11,4.11,6.96,5.75,5.54,4.86,7.0,7.0,5.0,3.95,5.89,5.08,6.18,5.66,5.44,4.35,5.29,5.07
S749559,UG,Freshman,Yes,Female,5.75,5.28,5.41,5.49,5.98,5.67,7.0,5.49,5.62,5.21,6.11,4.79,5.82,5.62,4.98,4.18,4.77,4.01,6.65,6.27,5.02,4.39,5.48,4.98
