student_id,program_level,modality,college,age,credits_attempted,credits_completed,gpa_term,cum_gpa,satisfaction_overall,satisfaction_advising,satisfaction_online_services,satisfaction_facilities,nps_score,fin_aid_flag,pell_eligible,unmet_need,first_gen,retention_next_term
1,Undergraduate,On-campus,Health,23.0,12,9.0,2.98,2.77,2.8,2.8,3.1,3.3,4.0,1,0,4122.0,0,0
2,Graduate,Online,Health,29.0,14,13.0,3.51,3.27,3.1,3.0,4.3,3.2,7.0,1,0,526.0,0,0
3,Graduate,Online,Engineering,24.0,13,13.0,3.6,3.47,3.1,2.6,3.6,2.8,5.0,1,0,3016.0,1,1
4,Undergraduate,Online,Health,22.0,13,12.0,2.61,2.62,2.6,2.6,3.6,3.0,6.0,0,0,1919.0,0,0
5,Undergraduate,Online,Business,24.0,14,12.0,2.43,2.34,3.0,3.1,3.4,3.5,5.0,1,0,3754.0,1,0
6,Undergraduate,Online,Sciences,22.0,10,9.0,2.71,2.94,3.3,3.3,3.6,3.3,8.0,0,0,3278.0,0,0
7,Undergraduate,On-campus,Sciences,22.0,10,9.0,3.98,4.0,3.0,3.5,3.1,4.4,7.0,0,0,2182.0,0,0
8,Graduate,On-campus,Education,28.0,8,8.0,3.46,3.46,2.5,2.4,3.3,3.1,5.0,1,0,1492.0,0,1
9,Undergraduate,On-campus,Health,23.0,10,9.0,3.04,3.23,2.6,2.5,2.1,3.6,8.0,1,0,827.0,0,1
10,Graduate,On-campus,Education,35.0,13,11.0,3.38,3.18,3.7,4.3,3.3,3.4,6.0,0,0,4138.0,0,0
11,Undergraduate,Hybrid,Business,15.0,10,8.0,2.56,2.69,2.7,2.3,3.3,3.1,5.0,1,0,3436.0,0,0
12,Graduate,On-campus,Engineering,23.0,9,8.0,2.65,2.61,2.6,2.4,4.1,3.6,8.0,1,0,4047.0,1,1
13,Graduate,Hybrid,Engineering,34.0,13,10.0,3.03,2.96,2.7,2.8,3.1,2.9,2.0,1,0,1722.0,0,1
14,Undergraduate,Online,Engineering,22.0,12,12.0,2.94,3.03,3.4,3.7,3.6,3.6,6.0,1,1,4082.0,0,1
15,Undergraduate,Online,Health,23.0,11,9.0,2.49,2.43,2.9,3.2,3.7,3.9,6.0,0,1,3463.0,0,1
16,Undergraduate,Online,Engineering,25.0,10,9.0,3.32,3.35,3.1,2.8,3.7,2.3,5.0,0,0,5898.0,1,0
17,Undergraduate,On-campus,Health,23.0,10,8.0,3.33,3.32,2.7,3.2,2.6,4.2,3.0,1,1,1764.0,0,0
18,Undergraduate,Hybrid,Business,25.0,15,13.0,3.1,3.15,3.2,3.3,3.4,4.2,5.0,0,0,3654.0,1,0
19,Undergraduate,Online,Education,21.0,7,6.0,3.44,3.36,3.5,3.3,3.1,3.3,2.0,1,1,2868.0,1,0
20,Undergraduate,Hybrid,Health,26.0,9,8.0,2.83,2.97,2.4,2.2,3.3,3.0,8.0,0,1,3962.0,0,1
21,Undergraduate,Online,Engineering,23.0,13,11.0,3.07,2.76,3.7,3.7,3.2,3.0,9.0,0,0,3169.0,0,1
22,Undergraduate,Hybrid,Business,23.0,13,10.0,2.77,2.87,2.6,3.2,3.0,3.1,5.0,0,0,5733.0,0,0
23,Undergraduate,Online,Health,18.0,6,5.0,2.37,2.09,2.0,2.1,3.3,3.4,4.0,1,0,1065.0,0,0
24,Undergraduate,Online,Engineering,23.0,7,6.0,3.06,2.95,3.8,4.4,3.4,3.0,3.0,0,0,4868.0,0,0
25,Undergraduate,Online,Education,20.0,10,10.0,3.06,3.14,3.2,3.5,3.5,3.2,4.0,1,0,3302.0,0,0
26,Graduate,Online,Engineering,35.0,14,12.0,3.33,3.03,3.5,3.1,3.6,2.8,8.0,1,1,3597.0,0,0
27,Undergraduate,Online,Sciences,20.0,15,12.0,3.06,3.08,3.9,4.3,3.5,3.0,6.0,1,0,4126.0,0,1
28,Undergraduate,Online,Health,19.0,12,12.0,3.56,3.35,3.1,2.8,3.8,3.0,4.0,0,1,3227.0,0,1
29,Undergraduate,Hybrid,Health,28.0,15,14.0,2.89,2.74,3.1,2.9,2.9,3.2,5.0,1,0,2549.0,1,0
30,Undergraduate,On-campus,Health,26.0,10,8.0,2.56,2.41,3.2,3.3,3.3,3.0,4.0,1,0,2449.0,0,1
31,Undergraduate,Online,Engineering,28.0,6,5.0,2.87,2.67,2.8,2.8,3.2,3.1,2.0,1,0,5118.0,0,0
32,Undergraduate,On-campus,Business,18.0,11,10.0,2.92,2.66,3.4,3.7,3.8,3.5,5.0,1,1,2976.0,1,0
33,Undergraduate,On-campus,Health,22.0,13,11.0,3.33,3.64,2.5,2.7,3.3,3.7,3.0,1,1,3566.0,0,0
34,Graduate,Online,Education,42.0,12,11.0,2.84,2.81,3.1,3.1,3.2,3.8,6.0,0,0,3623.0,0,0
35,Graduate,Online,Engineering,30.0,7,6.0,3.58,3.39,3.1,3.6,4.2,3.2,7.0,1,0,810.0,0,0
36,Graduate,Online,Engineering,33.0,10,9.0,3.5,3.42,3.7,3.6,3.7,2.7,4.0,1,0,1097.0,1,0
37,Undergraduate,Online,Business,26.0,9,6.0,3.17,3.18,2.9,2.6,3.2,3.3,5.0,0,1,5019.0,0,0
38,Undergraduate,On-campus,Sciences,21.0,14,12.0,2.98,2.92,2.6,2.7,3.0,3.3,5.0,0,0,2903.0,0,0
39,Undergraduate,Online,Education,25.0,15,12.0,3.29,3.1,3.0,3.0,3.0,2.9,4.0,0,0,8793.0,0,0
40,Undergraduate,On-campus,Business,24.0,6,5.0,3.42,3.29,2.6,2.7,2.6,3.5,0.0,0,0,3392.0,0,0
41,Undergraduate,On-campus,Engineering,29.0,11,10.0,2.82,3.0,2.5,2.7,3.6,3.4,3.0,1,0,3027.0,0,0
42,Undergraduate,Online,Sciences,18.0,8,8.0,2.64,2.43,3.0,2.9,3.1,2.8,3.0,0,0,4524.0,0,0
43,Undergraduate,On-campus,Education,26.0,14,11.0,2.91,2.61,2.8,3.4,2.6,3.4,5.0,1,0,2769.0,0,0
44,Graduate,Online,Business,28.0,10,7.0,3.74,3.68,3.5,3.6,3.8,3.4,6.0,0,0,2170.0,0,1
45,Undergraduate,Hybrid,Health,19.0,11,9.0,2.9,2.61,2.7,2.6,3.8,3.2,7.0,0,0,4372.0,0,0
46,Undergraduate,Online,Health,25.0,14,13.0,2.57,2.43,2.8,3.0,4.0,2.8,3.0,0,0,4358.0,1,0
47,Undergraduate,Hybrid,Business,23.0,14,10.0,2.95,2.76,2.3,2.3,4.0,2.9,3.0,0,1,3051.0,1,1
48,Undergraduate,On-campus,Engineering,21.0,13,11.0,2.13,1.94,2.2,2.2,4.1,3.6,3.0,1,1,4777.0,0,1
49,Undergraduate,Online,Engineering,20.0,14,13.0,2.84,2.85,3.0,2.7,3.1,2.8,5.0,1,1,0.0,1,0
50,Undergraduate,On-campus,Engineering,20.0,9,8.0,3.31,3.35,3.2,2.9,3.0,3.2,6.0,0,0,1733.0,0,0
51,Graduate,Hybrid,Engineering,31.0,11,11.0,3.06,2.94,3.1,3.4,2.5,3.0,6.0,1,0,3631.0,1,0
52,Graduate,On-campus,Business,30.0,10,7.0,3.66,3.65,2.7,2.3,2.6,3.2,1.0,1,0,2369.0,0,0
53,Graduate,Hybrid,Engineering,32.0,10,9.0,3.11,2.98,3.2,3.2,3.5,3.2,8.0,0,0,2680.0,0,0
54,Graduate,Hybrid,Engineering,31.0,9,9.0,3.42,3.48,3.3,3.4,3.2,3.1,6.0,1,0,2793.0,1,0
55,Undergraduate,Online,Health,20.0,7,6.0,2.5,2.28,3.5,3.9,4.1,3.8,7.0,0,0,5439.0,1,1
56,Graduate,Online,Sciences,30.0,11,11.0,3.0,3.02,2.6,2.5,3.2,2.7,0.0,0,0,1554.0,0,0
57,Undergraduate,On-campus,Health,18.0,14,12.0,3.42,3.46,3.1,3.3,2.9,4.1,7.0,1,1,3084.0,0,0
58,Undergraduate,Online,Education,21.0,6,5.0,2.78,3.13,3.5,3.5,3.7,3.3,3.0,1,1,2496.0,1,0
59,Undergraduate,Hybrid,Education,22.0,12,12.0,3.64,3.38,3.2,2.5,3.5,3.8,4.0,1,1,1656.0,0,0
60,Undergraduate,Hybrid,Sciences,22.0,11,10.0,2.67,3.07,2.5,2.5,2.4,3.7,7.0,0,0,4368.0,1,0
61,Undergraduate,Online,Engineering,21.0,8,7.0,3.53,3.64,3.1,3.1,3.4,3.0,6.0,1,1,2394.0,1,0
62,Undergraduate,Online,Education,23.0,6,6.0,3.01,3.28,3.5,3.6,3.7,2.6,4.0,1,0,3325.0,1,0
63,Graduate,On-campus,Business,29.0,9,7.0,3.19,3.33,2.4,2.2,3.4,3.5,6.0,0,0,2522.0,0,1
64,Undergraduate,Online,Health,24.0,14,13.0,3.54,3.4,3.3,3.1,3.9,2.4,6.0,1,1,3631.0,0,1
65,Undergraduate,Hybrid,Health,19.0,7,5.0,2.46,2.56,2.4,2.8,3.1,3.5,4.0,1,1,3488.0,0,0
66,Undergraduate,Online,Engineering,21.0,8,7.0,2.65,2.55,2.7,2.6,3.0,3.3,6.0,0,0,5533.0,1,0
67,Undergraduate,On-campus,Education,26.0,7,7.0,3.2,3.19,3.2,2.6,2.3,3.4,4.0,0,0,1412.0,1,0
68,Graduate,Online,Sciences,34.0,7,6.0,3.06,2.88,3.1,3.2,3.4,3.0,6.0,1,0,4217.0,0,0
69,Undergraduate,On-campus,Engineering,18.0,15,15.0,3.11,3.01,3.0,3.3,3.0,3.2,6.0,1,1,1447.0,1,0
70,Graduate,Online,Health,28.0,13,13.0,2.93,3.06,2.7,3.0,3.2,3.2,6.0,1,0,3296.0,0,1
71,Graduate,On-campus,Health,29.0,8,7.0,3.61,3.68,3.5,3.3,3.5,3.2,9.0,0,1,527.0,1,0
72,Undergraduate,Online,Health,22.0,12,11.0,2.71,2.86,3.1,3.1,3.0,3.2,7.0,1,0,1475.0,0,1
73,Undergraduate,On-campus,Engineering,28.0,13,12.0,3.5,3.29,3.6,3.8,2.8,3.7,7.0,0,0,5261.0,0,0
74,Graduate,Hybrid,Engineering,27.0,8,7.0,3.21,2.93,2.9,3.2,3.6,3.5,4.0,1,0,3289.0,0,1
75,Graduate,Online,Business,29.0,7,7.0,3.29,3.46,3.5,3.7,3.2,3.4,2.0,1,0,880.0,0,0
76,Graduate,Online,Sciences,30.0,13,11.0,2.74,2.89,3.4,3.6,3.6,3.1,5.0,1,0,3520.0,1,0
77,Graduate,Online,Sciences,31.0,8,7.0,3.08,3.11,3.4,3.2,3.5,3.4,4.0,0,1,2276.0,0,0
78,Undergraduate,On-campus,Education,20.0,12,9.0,2.11,2.17,3.1,2.4,3.2,3.7,6.0,1,1,1601.0,1,0
79,Undergraduate,On-campus,Engineering,24.0,6,5.0,2.22,2.35,1.8,2.1,3.5,3.7,4.0,1,1,245.0,1,0
80,Undergraduate,On-campus,Sciences,20.0,11,10.0,2.83,2.86,2.9,2.6,3.2,3.2,8.0,1,0,3015.0,0,1
81,Graduate,Online,Health,32.0,14,11.0,2.65,2.73,2.9,2.8,2.9,2.7,1.0,0,0,5631.0,1,0
82,Undergraduate,Online,Sciences,24.0,8,7.0,3.02,3.14,3.0,3.2,3.0,3.3,4.0,1,1,3327.0,0,1
83,Undergraduate,On-campus,Engineering,23.0,12,10.0,3.63,3.62,3.8,3.8,3.2,3.8,6.0,0,1,2138.0,1,1
84,Undergraduate,Online,Business,23.0,11,9.0,3.16,3.11,3.0,3.2,3.1,3.0,3.0,1,1,1931.0,0,1
85,Undergraduate,Hybrid,Health,21.0,13,10.0,2.86,2.92,3.3,4.0,3.5,3.7,7.0,0,0,1641.0,1,0
86,Undergraduate,Online,Health,23.0,8,8.0,3.49,3.83,3.0,3.2,3.6,4.1,7.0,0,0,6047.0,0,1
87,Graduate,On-campus,Business,27.0,8,7.0,2.93,2.8,3.3,3.1,2.4,4.3,4.0,1,0,2529.0,1,0
88,Undergraduate,Online,Education,23.0,9,9.0,3.64,3.58,3.5,3.1,4.3,3.1,10.0,0,1,4475.0,0,1
89,Graduate,Online,Business,27.0,8,8.0,3.22,2.96,3.2,3.4,3.4,3.0,3.0,1,0,2799.0,0,0
90,Undergraduate,On-campus,Engineering,21.0,14,14.0,2.54,2.61,2.1,2.1,3.0,3.9,2.0,0,0,3061.0,0,0
91,Undergraduate,On-campus,Business,19.0,9,7.0,2.14,2.06,2.4,2.0,3.3,3.9,4.0,1,0,1669.0,0,0
92,Graduate,Hybrid,Sciences,28.0,11,8.0,3.13,2.92,2.8,3.2,3.1,2.8,5.0,1,0,3184.0,0,1
93,Graduate,Online,Engineering,35.0,13,11.0,2.5,2.49,3.6,3.8,3.9,3.1,2.0,1,0,4955.0,1,1
94,Undergraduate,Online,Sciences,19.0,13,10.0,2.41,2.63,2.9,2.9,3.1,3.5,6.0,1,1,1486.0,0,1
95,Graduate,On-campus,Engineering,29.0,10,8.0,3.26,3.21,2.8,3.5,3.6,3.2,10.0,1,0,4261.0,1,1
96,Undergraduate,On-campus,Health,23.0,10,10.0,2.31,2.27,2.3,2.6,3.4,3.3,2.0,0,0,5384.0,1,0
97,Undergraduate,Online,Sciences,24.0,11,11.0,3.04,3.26,2.7,2.4,3.2,3.0,5.0,1,0,2021.0,0,0
98,Undergraduate,Online,Education,21.0,15,12.0,2.88,2.88,3.7,4.1,3.6,3.0,7.0,0,0,5650.0,0,0
99,Undergraduate,Online,Education,23.0,12,8.0,2.92,2.74,3.7,3.8,4.0,2.6,7.0,0,0,5529.0,1,0
100,Undergraduate,Hybrid,Business,24.0,15,12.0,3.46,3.56,3.2,3.8,3.3,3.5,9.0,0,0,782.0,0,1
101,Undergraduate,Online,Education,23.0,12,10.0,2.61,2.78,3.9,4.2,3.6,2.9,5.0,0,1,4552.0,0,1
